#{"t_start": 1594001629.9526608, "env_id": null}
r,l,t
1.071429,4,23.417914
1.142857,7,23.432476
1.095238,5,23.451354
-0.904762,5,23.463834
1.071429,4,23.474291
-9.809524,9,23.498559
1.095238,5,23.510487
1.071429,4,23.520716
1.071429,4,23.530939
1.095238,5,23.544841
-9.619048,17,23.58412
1.214286,10,23.60746
1.119048,6,23.623719
-0.928571,4,23.641318
1.095238,5,23.657914
1.142857,7,23.672518
1.119048,6,23.691386
1.071429,4,23.698919
1.119048,6,23.725663
-0.880952,6,23.744689
1.095238,5,23.759293
-0.857143,7,23.774879
1.119048,6,23.792124
-9.761905,11,23.824483
-0.761905,11,23.852094
1.095238,5,23.866548
1.119048,6,23.881378
1.142857,7,23.902663
-9.761905,11,23.931968
-0.928571,4,23.940291
1.142857,7,23.958005
1.095238,5,23.969759
1.071429,4,23.980045
1.095238,5,23.991898
-0.738095,12,24.020965
1.071429,4,24.03117
1.119048,6,24.044401
1.095238,5,24.055997
1.071429,4,24.066046
1.142857,7,24.080689
1.095238,5,24.093121
1.095238,5,24.104822
1.095238,5,24.11645
-9.714286,13,24.144477
1.095238,5,24.156352
1.119048,6,24.169931
-9.642857,16,24.205341
1.119048,6,24.21936
1.214286,10,24.243129
1.095238,5,24.254822
1.095238,5,24.26676
1.214286,10,24.289818
1.285714,13,24.414871
1.095238,5,24.431215
1.166667,8,24.458822
-0.904762,5,24.471438
1.142857,7,24.49087
1.119048,6,24.509721
1.095238,5,24.52913
1.119048,6,24.545049
-0.833333,8,24.564518
1.142857,7,24.581697
-0.761905,11,24.626691
1.095238,5,24.638908
1.119048,6,24.652471
-0.809524,9,24.677022
1.071429,4,24.684714
-0.738095,12,24.721427
1.095238,5,24.733543
1.095238,5,24.746459
1.142857,7,24.7675
-9.642857,16,24.806747
1.119048,6,24.825636
1.095238,5,24.83989
1.119048,6,24.853148
1.095238,5,24.86521
1.142857,7,24.884449
1.095238,5,24.902219
1.214286,10,24.930256
1.142857,7,24.947411
1.166667,8,24.965535
1.095238,5,24.983232
1.142857,7,25.006908
1.142857,7,25.023062
-0.809524,9,25.046658
-0.809524,9,25.070668
1.238095,11,25.096117
-0.904762,5,25.10908
1.142857,7,25.124491
1.119048,6,25.137938
1.071429,4,25.148701
1.142857,7,25.171503
-0.761905,11,25.196155
1.119048,6,25.215407
1.095238,5,25.230762
-9.880952,6,25.248908
-0.761905,11,25.28336
1.142857,7,25.302007
1.095238,5,25.318997
1.119048,6,25.333025
1.095238,5,25.350015
1.095238,5,25.369858
1.095238,5,25.383304
1.095238,5,25.39734
1.119048,6,25.415181
-9.809524,9,25.449828
1.119048,6,25.467535
1.119048,6,25.481356
1.095238,5,25.494626
1.119048,6,25.51147
1.238095,11,25.537025
1.095238,5,25.549088
-0.809524,9,25.571149
-0.809524,9,25.591684
-0.928571,4,25.603396
1.071429,4,25.626492
1.095238,5,25.638878
1.166667,8,25.664639
1.142857,7,25.682425
